DataHora,VlLow
"2018-06-01 05:53:00",7489.67
"2018-06-01 05:54:00",7489.67
"2018-06-01 05:55:00",7488.12
"2018-06-01 05:56:00",7488.12
"2018-06-01 05:57:00",7495.04
"2018-06-01 05:58:00",7495.04
"2018-06-01 05:59:00",7491.64
"2018-06-01 06:00:00",7491.61
"2018-06-01 06:01:00",7490.00
"2018-06-01 06:02:00",7490.00
"2018-06-01 06:03:00",7490.25
"2018-06-01 06:04:00",7490.91
"2018-06-01 06:05:00",7488.66
"2018-06-01 06:06:00",7487.48
"2018-06-01 06:07:00",7487.48
"2018-06-01 06:08:00",7487.48
"2018-06-01 06:09:00",7487.00
"2018-06-01 06:10:00",7485.28
"2018-06-01 06:11:00",7490.00
"2018-06-01 06:12:00",7490.27
"2018-06-01 06:13:00",7490.27
"2018-06-01 06:14:00",7495.00
"2018-06-01 06:15:00",7490.43
"2018-06-01 06:16:00",7490.68
"2018-06-01 06:17:00",7494.99
"2018-06-01 06:18:00",7541.97
"2018-06-01 06:19:00",7537.49
"2018-06-01 06:20:00",7542.26
"2018-06-01 06:21:00",7541.03
"2018-06-01 06:22:00",7540.00
"2018-06-01 06:23:00",7537.49
"2018-06-01 06:24:00",7535.87
"2018-06-01 06:25:00",7526.75
"2018-06-01 06:26:00",7526.81
"2018-06-01 06:27:00",7526.91
"2018-06-01 06:28:00",7525.00
"2018-06-01 06:29:00",7523.15
"2018-06-01 06:30:00",7524.96
"2018-06-01 06:31:00",7537.98
"2018-06-01 06:32:00",7531.60
"2018-06-01 06:33:00",7535.53
"2018-06-01 06:34:00",7537.48
"2018-06-01 06:35:00",7531.42
"2018-06-01 06:36:00",7530.34
"2018-06-01 06:37:00",7536.40
"2018-06-01 06:38:00",7536.37
"2018-06-01 06:39:00",7537.32
"2018-06-01 06:40:00",7544.28
"2018-06-01 06:41:00",7549.20
"2018-06-01 06:42:00",7542.20
"2018-06-01 06:43:00",7537.49
"2018-06-01 06:44:00",7539.16
"2018-06-01 06:45:00",7546.10
"2018-06-01 06:46:00",7535.78
"2018-06-01 06:47:00",7535.91
"2018-06-01 06:48:00",7536.56
"2018-06-01 06:49:00",7543.87
"2018-06-01 06:50:00",7537.08
"2018-06-01 06:51:00",7541.35
"2018-06-01 06:52:00",7545.92
"2018-06-01 06:53:00",7545.93
"2018-06-01 06:54:00",7539.22
"2018-06-01 06:55:00",7542.91
"2018-06-01 06:56:00",7542.69
